id,name,category,price,stock
1,Book,Electronics,2215.48,238
2,Mirror,Stationery,4309.32,555
3,Keyboard,Electronics,3224.48,603
4,Headphones,Electronics,3415.7,410
5,Phone,Stationery,2280.33,207
6,Notebook,Electronics,3528.63,725
7,Backpack,Electronics,1881.03,139
8,Tablet,Electronics,4976.03,623
9,Mouse,Electronics,4721.12,324
10,Desk,Home,1937.15,519
11,Headphones,Beauty,973.91,151
12,Shirt,Tools,3512.62,905
13,Mirror,Tools,538.69,254
14,Mouse,Stationery,1221.75,565
15,Backpack,Tools,2078.1,710
16,Mirror,Home,2452.55,588
17,Desk,Beauty,3071.71,612
18,Mouse,Books,3386.23,941
19,Keyboard,Electronics,1550.01,46
20,Shirt,Books,2547.72,331
21,Book,Home,2893.01,726
22,Lamp,Clothing,4611.3,893
23,Notebook,Books,4324.47,305
24,Desk,Beauty,2079.82,602
25,Phone,Electronics,3380.9,559
26,Keyboard,Beauty,3149.37,395
27,Tablet,Stationery,1374.71,99
28,Notebook,Electronics,1709.85,878
29,Backpack,Clothing,4725.41,282
30,Desk,Home,409.14,16
31,Lamp,Tools,3773.11,620
32,Book,Tools,1727.99,603
33,Mouse,Books,3357.09,54
34,Laptop,Stationery,3550.36,272
35,Book,Clothing,1162.9,535
36,Laptop,Stationery,2345.56,663
37,Book,Electronics,77.14,161
38,Shirt,Clothing,2423.07,235
39,Phone,Stationery,916.31,79
40,Backpack,Tools,2015.0,828
41,Chair,Clothing,1851.89,279
42,Laptop,Clothing,2158.59,954
43,Mirror,Clothing,3930.17,868
44,Shirt,Stationery,1915.16,574
45,Lamp,Electronics,2503.6,844
46,Laptop,Electronics,1732.81,895
47,Mirror,Home,1953.7,452
48,Lamp,Electronics,728.87,725
49,Desk,Stationery,63.6,531
50,Chair,Home,2109.99,104
51,Desk,Clothing,2482.06,107
52,Mouse,Electronics,473.31,611
53,Book,Tools,1721.94,914
54,Backpack,Beauty,3711.38,704
55,Mouse,Beauty,4404.18,451
56,Phone,Tools,479.41,335
57,Monitor,Beauty,1028.09,736
58,Mirror,Books,4028.44,794
59,Notebook,Tools,16.96,154
60,Pen,Stationery,946.59,777
61,Book,Tools,2735.57,494
62,Desk,Beauty,1756.87,249
63,Phone,Home,2498.68,765
64,Lamp,Home,3570.98,468
65,Backpack,Clothing,1075.74,868
66,Monitor,Books,465.8,979
67,Desk,Beauty,2551.18,723
68,Shirt,Stationery,2602.8,29
69,Monitor,Books,4276.76,991
70,Chair,Tools,4095.58,287
71,Mirror,Beauty,1826.77,499
72,Book,Home,572.13,834
73,Pen,Home,3683.01,967
74,Keyboard,Stationery,621.14,295
75,Mirror,Electronics,4393.17,131
76,Monitor,Tools,1387.96,809
77,Headphones,Home,2277.38,720
78,Monitor,Books,4900.65,115
79,Mouse,Beauty,2733.47,130
80,Mirror,Tools,3045.2,971
81,Phone,Home,2215.31,701
82,Headphones,Beauty,3141.23,540
83,Lamp,Stationery,1056.82,664
84,Phone,Tools,1824.91,677
85,Backpack,Beauty,2583.42,741
86,Laptop,Home,2847.57,587
87,Monitor,Books,4053.16,681
88,Pen,Clothing,3948.35,943
89,Monitor,Beauty,2355.08,652
90,Desk,Tools,531.39,102
91,Lamp,Electronics,273.54,328
92,Laptop,Books,1179.1,951
93,Desk,Beauty,4191.31,489
94,Laptop,Books,3438.65,885
95,Laptop,Books,2892.53,641
96,Keyboard,Tools,546.06,972
97,Lamp,Electronics,4982.62,76
98,Book,Stationery,516.98,397
99,Notebook,Electronics,1681.58,642
